Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.3164511759871923,0.3909972187816101,0.66784953448505,0.3045712398366799,0.3266709463857903,0.6390307857997307,0.6881839883511945,5.238304527778786,0.4432479000646134,0.997093023255814,0.6136871924854629,0.496690031152648,0.6401388888888889,0.9405039799041398,0.9675741346989783,0.0684107278290973,0.1092432180323933,2585.0,215.41666666666663,27,scikit_learn
GraphSAGE,0.4369029132773478,0.5139586794576334,0.5633942994038221,0.4253991086098055,0.4503054064392215,0.544747396109399,0.578337926182657,0.0486101562273688,0.3836336336336336,0.9903100775193798,0.553030303030303,0.3605919003115265,0.5411111111111111,0.3935642444807687,0.6754509889154532,0.4588888888888889,0.4588888888888888,3284.0,273.6666666666667,27,pytorch
T-GCN (w=5),0.4417277584000239,0.5482871193459812,0.5254987772121835,0.4307669722857355,0.4557592364180149,0.5035211656240154,0.5461888606993528,0.2135101561862029,0.3235958683021304,0.9985059760956176,0.4887859580692344,0.169770206022187,0.4056122448979591,0.6804724404206064,0.5841380910589022,0.5943877551020408,0.5943877551020408,4191.0,356.3775510204082,27,pytorch
PI+MLP,0.470938929716746,0.7400485065996196,0.3713319579697524,0.4526217157894538,0.4895448166649375,0.3513534717021129,0.3862732658241846,0.051371093832131,0.3387366310160428,0.9820736434108528,0.503727634194831,0.2295560747663551,0.4452777777777778,0.3330781201593563,0.6058148590886039,0.5547222222222222,0.5547222222222222,3957.0,329.75,27,pytorch
FANET-TopoGNN (concat),0.4838053349985016,0.5453034200578886,0.5367670762888792,0.4720432625460542,0.4982952442461004,0.5194361252569529,0.5509448465970318,0.116239843691801,0.4239468769454244,0.9898255813953488,0.5936364957140782,0.4595015576323987,0.6115277777777778,0.4397028372432303,0.7246635695138739,0.3884722222222222,0.3884722222222222,2776.0,231.33333333333331,27,pytorch
FANET-TopoGNN,0.5090676995201243,0.6171141154156907,0.4757641976331908,0.4958822468450914,0.5229098704931223,0.4610285643695765,0.4880466059700909,0.1653335937135125,0.3573907009021513,0.998062015503876,0.5263157894736843,0.278816199376947,0.485,0.3571645350720727,0.6384391074404114,0.515,0.515,3704.0,308.6666666666667,27,pytorch
GAT,0.5113942471146583,0.6818273765411788,0.4207905590103875,0.4984785994256122,0.5264202196997486,0.3848382411927998,0.453296796910475,0.095035937420107,0.3441275167785235,0.9937015503875968,0.5112163509471586,0.2389018691588785,0.4552777777777778,0.345126075765635,0.6163017097732377,0.5447222222222222,0.5447222222222221,3909.0,325.75,27,pytorch
GCN,0.5314888935701715,0.6690180573017801,0.4316720209337069,0.5178707946334035,0.5460215737238112,0.4120721205578016,0.4484916560323875,0.1096234375381755,0.413233204789933,0.9864341085271318,0.5824631669289086,0.4371105919003115,0.5945833333333334,0.4355300161428622,0.7117723502137216,0.4054166666666666,0.4054166666666666,2891.0,240.91666666666663,27,pytorch
STGCN (w=5),0.5345337224148569,0.6316945607630255,0.4533159161790815,0.5216270152998923,0.5475437844450883,0.4322109473755431,0.4712456274007783,0.3763671874139618,0.3961103393530462,0.99402390438247,0.5664821910032638,0.3971870047543581,0.5670351473922902,0.7034464994839495,0.6956054545684142,0.4329648526077097,0.4329648526077097,3043.0,258.75850340136054,27,pytorch
TGN (w=5),0.5437303950287857,0.7441212076969352,0.3560191175460803,0.5297103299041301,0.5591856053705135,0.3264973556898484,0.3838018368781569,0.1743453124163352,0.3904966757919437,0.9945219123505976,0.5607975287840494,0.3825277337559429,0.5566893424036281,0.7008800614116222,0.6885248230532703,0.4433106575963719,0.4433106575963718,3117.0,265.05102040816325,27,pytorch
