Threshold,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,False_Alarms,False_Alarms_per_minute,seed,Model,Model_Backend
0.8,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.9,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,3911.0,325.9166666666667,7,GraphSAGE,pytorch
0.1,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.2,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.3,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.4,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.5,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.6,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.7,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.8,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.9,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,4973.0,414.4166666666667,7,PI+MLP,pytorch
0.1,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.2,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.3,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.4,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.5,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.6,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.7,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.8,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.9,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,4832.0,402.6666666666667,7,FANET-TopoGNN,pytorch
0.1,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.2,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.3,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.4,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.5,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.6,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.7,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.8,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.9,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,3465.0,288.75,7,FANET-TopoGNN (concat),pytorch
0.1,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.2,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.3,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.4,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.5,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.6,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.7,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.8,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.9,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,5166.0,439.2857142857143,7,tgcn:5,pytorch
0.1,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.2,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.3,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.4,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.5,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.6,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.7,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.8,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.9,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,3895.0,331.2074829931973,7,stgcn:5,pytorch
0.1,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.2,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.3,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.4,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.5,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.6,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.7,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.8,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
0.9,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,5397.0,458.92857142857144,7,tgn:5,pytorch
